genome,location,length
V1DD.contigs.10kb_virus_k127_1221466 flag=3 multi=10.9980 len=95158.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221466 flag=3 multi=10.9980 len=95158.fasta,95158
V1DD.contigs.10kb_virus_k127_1221467 flag=3 multi=14.0001 len=247071.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221467 flag=3 multi=14.0001 len=247071.fasta,247071
V1DD.contigs.10kb_virus_k127_1221469 flag=3 multi=21.9966 len=54803.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221469 flag=3 multi=21.9966 len=54803.fasta,54803
V1DD.contigs.10kb_virus_k127_1221470 flag=3 multi=14.0002 len=59337.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221470 flag=3 multi=14.0002 len=59337.fasta,59337
V1DD.contigs.10kb_virus_k127_1221472 flag=3 multi=20.9986 len=244882.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221472 flag=3 multi=20.9986 len=244882.fasta,244882
V1DD.contigs.10kb_virus_k127_1221473 flag=3 multi=33.0005 len=63194.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221473 flag=3 multi=33.0005 len=63194.fasta,63194
V1DD.contigs.10kb_virus_k127_1221474 flag=3 multi=132.9840 len=74290.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221474 flag=3 multi=132.9840 len=74290.fasta,74290
V1DD.contigs.10kb_virus_k127_1221475 flag=3 multi=12.9959 len=55426.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221475 flag=3 multi=12.9959 len=55426.fasta,55426
V1DD.contigs.10kb_virus_k127_1221479 flag=3 multi=16.9970 len=51821.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221479 flag=3 multi=16.9970 len=51821.fasta,51821
V1DD.contigs.10kb_virus_k127_1221480 flag=3 multi=15.9947 len=53990.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221480 flag=3 multi=15.9947 len=53990.fasta,53990
V1DD.contigs.10kb_virus_k127_1221488 flag=3 multi=16.9974 len=115958.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221488 flag=3 multi=16.9974 len=115958.fasta,115958
V1DD.contigs.10kb_virus_k127_1221489 flag=3 multi=11.0002 len=65045.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221489 flag=3 multi=11.0002 len=65045.fasta,65045
V1DD.contigs.10kb_virus_k127_1221492 flag=3 multi=48.9938 len=71090.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221492 flag=3 multi=48.9938 len=71090.fasta,71090
V1DD.contigs.10kb_virus_k127_1221504 flag=3 multi=15.9803 len=52539.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221504 flag=3 multi=15.9803 len=52539.fasta,52539
V1DD.contigs.10kb_virus_k127_1221519 flag=3 multi=21.8477 len=53074.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221519 flag=3 multi=21.8477 len=53074.fasta,53074
V1DD.contigs.10kb_virus_k127_1221530 flag=3 multi=10.0002 len=65938.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221530 flag=3 multi=10.0002 len=65938.fasta,65938
V1DD.contigs.10kb_virus_k127_1221550 flag=3 multi=22.0003 len=64789.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_1221550 flag=3 multi=22.0003 len=64789.fasta,64789
V1DD.contigs.10kb_virus_k127_134118 flag=0 multi=77.9798 len=76261.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_134118 flag=0 multi=77.9798 len=76261.fasta,76261
V1DD.contigs.10kb_virus_k127_15125 flag=0 multi=30.0000 len=73671.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_15125 flag=0 multi=30.0000 len=73671.fasta,73671
V1DD.contigs.10kb_virus_k127_155367 flag=0 multi=16.9981 len=85621.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_155367 flag=0 multi=16.9981 len=85621.fasta,85621
V1DD.contigs.10kb_virus_k127_158857 flag=3 multi=18.8608 len=51100.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_158857 flag=3 multi=18.8608 len=51100.fasta,51100
V1DD.contigs.10kb_virus_k127_159064 flag=0 multi=9.9949 len=98481.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_159064 flag=0 multi=9.9949 len=98481.fasta,98481
V1DD.contigs.10kb_virus_k127_169016 flag=0 multi=30.0000 len=51303.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_169016 flag=0 multi=30.0000 len=51303.fasta,51303
V1DD.contigs.10kb_virus_k127_185121 flag=0 multi=20.9943 len=75563.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_185121 flag=0 multi=20.9943 len=75563.fasta,75563
V1DD.contigs.10kb_virus_k127_201119 flag=0 multi=20.9971 len=67934.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_201119 flag=0 multi=20.9971 len=67934.fasta,67934
V1DD.contigs.10kb_virus_k127_222176 flag=0 multi=14.0000 len=52271.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_222176 flag=0 multi=14.0000 len=52271.fasta,52271
V1DD.contigs.10kb_virus_k127_224043 flag=0 multi=39.0000 len=128110.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_224043 flag=0 multi=39.0000 len=128110.fasta,128110
V1DD.contigs.10kb_virus_k127_230647 flag=3 multi=46.0000 len=91882.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_230647 flag=3 multi=46.0000 len=91882.fasta,91882
V1DD.contigs.10kb_virus_k127_232494 flag=3 multi=14.9931 len=61086.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_232494 flag=3 multi=14.9931 len=61086.fasta,61086
V1DD.contigs.10kb_virus_k127_233677 flag=3 multi=119.0000 len=58210.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_233677 flag=3 multi=119.0000 len=58210.fasta,58210
V1DD.contigs.10kb_virus_k127_233900 flag=0 multi=28.8753 len=107302.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_233900 flag=0 multi=28.8753 len=107302.fasta,107302
V1DD.contigs.10kb_virus_k127_23459 flag=1 multi=11.0000 len=51778.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_23459 flag=1 multi=11.0000 len=51778.fasta,51778
V1DD.contigs.10kb_virus_k127_23488 flag=3 multi=27.0000 len=59508.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_23488 flag=3 multi=27.0000 len=59508.fasta,59508
V1DD.contigs.10kb_virus_k127_239520 flag=0 multi=12.5961 len=61793.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_239520 flag=0 multi=12.5961 len=61793.fasta,61793
V1DD.contigs.10kb_virus_k127_244233 flag=0 multi=28.0146 len=188715.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_244233 flag=0 multi=28.0146 len=188715.fasta,188715
V1DD.contigs.10kb_virus_k127_246384 flag=3 multi=14.9903 len=57975.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_246384 flag=3 multi=14.9903 len=57975.fasta,57975
V1DD.contigs.10kb_virus_k127_26487 flag=1 multi=8.0000 len=59600.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_26487 flag=1 multi=8.0000 len=59600.fasta,59600
V1DD.contigs.10kb_virus_k127_267980 flag=0 multi=44.9939 len=72337.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_267980 flag=0 multi=44.9939 len=72337.fasta,72337
V1DD.contigs.10kb_virus_k127_268370 flag=0 multi=15.9011 len=53650.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_268370 flag=0 multi=15.9011 len=53650.fasta,53650
V1DD.contigs.10kb_virus_k127_271221 flag=0 multi=19.9961 len=96921.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_271221 flag=0 multi=19.9961 len=96921.fasta,96921
V1DD.contigs.10kb_virus_k127_281015|provirus_10935_95340.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_281015|provirus_10935_95340.fasta,84406
V1DD.contigs.10kb_virus_k127_297007 flag=1 multi=14.0000 len=58188.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_297007 flag=1 multi=14.0000 len=58188.fasta,58188
V1DD.contigs.10kb_virus_k127_299914 flag=1 multi=12.0000 len=203341.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_299914 flag=1 multi=12.0000 len=203341.fasta,203341
V1DD.contigs.10kb_virus_k127_306019 flag=0 multi=48.9812 len=51306.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_306019 flag=0 multi=48.9812 len=51306.fasta,51306
V1DD.contigs.10kb_virus_k127_309070 flag=0 multi=34.9479 len=61802.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_309070 flag=0 multi=34.9479 len=61802.fasta,61802
V1DD.contigs.10kb_virus_k127_313249 flag=1 multi=8.2005 len=50293.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_313249 flag=1 multi=8.2005 len=50293.fasta,50293
V1DD.contigs.10kb_virus_k127_316258 flag=0 multi=9.9145 len=64643.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_316258 flag=0 multi=9.9145 len=64643.fasta,64643
V1DD.contigs.10kb_virus_k127_320098 flag=1 multi=13.3997 len=50075.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_320098 flag=1 multi=13.3997 len=50075.fasta,50075
V1DD.contigs.10kb_virus_k127_325598 flag=0 multi=12.0000 len=114404.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_325598 flag=0 multi=12.0000 len=114404.fasta,114404
V1DD.contigs.10kb_virus_k127_34 flag=0 multi=35.8480 len=76063.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_34 flag=0 multi=35.8480 len=76063.fasta,76063
V1DD.contigs.10kb_virus_k127_340505 flag=1 multi=56.0000 len=57886.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_340505 flag=1 multi=56.0000 len=57886.fasta,57886
V1DD.contigs.10kb_virus_k127_361032 flag=1 multi=9.0000 len=70509.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_361032 flag=1 multi=9.0000 len=70509.fasta,70509
V1DD.contigs.10kb_virus_k127_371761 flag=0 multi=39.6744 len=72390.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_371761 flag=0 multi=39.6744 len=72390.fasta,72390
V1DD.contigs.10kb_virus_k127_38044 flag=1 multi=11.0000 len=63410.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_38044 flag=1 multi=11.0000 len=63410.fasta,63410
V1DD.contigs.10kb_virus_k127_386873 flag=1 multi=9.0000 len=70702.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_386873 flag=1 multi=9.0000 len=70702.fasta,70702
V1DD.contigs.10kb_virus_k127_39048 flag=0 multi=8.9913 len=62945.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_39048 flag=0 multi=8.9913 len=62945.fasta,62945
V1DD.contigs.10kb_virus_k127_391689 flag=3 multi=70.0000 len=65725.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_391689 flag=3 multi=70.0000 len=65725.fasta,65725
V1DD.contigs.10kb_virus_k127_397791 flag=0 multi=42.9959 len=102150.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_397791 flag=0 multi=42.9959 len=102150.fasta,102150
V1DD.contigs.10kb_virus_k127_402233 flag=0 multi=24.0000 len=71738.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_402233 flag=0 multi=24.0000 len=71738.fasta,71738
V1DD.contigs.10kb_virus_k127_404815 flag=0 multi=30.9346 len=57424.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_404815 flag=0 multi=30.9346 len=57424.fasta,57424
V1DD.contigs.10kb_virus_k127_404975 flag=0 multi=13.9978 len=64428.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_404975 flag=0 multi=13.9978 len=64428.fasta,64428
V1DD.contigs.10kb_virus_k127_408011 flag=0 multi=9.9956 len=60873.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_408011 flag=0 multi=9.9956 len=60873.fasta,60873
V1DD.contigs.10kb_virus_k127_42527 flag=0 multi=17.9981 len=90351.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_42527 flag=0 multi=17.9981 len=90351.fasta,90351
V1DD.contigs.10kb_virus_k127_426929 flag=0 multi=11.9979 len=52730.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_426929 flag=0 multi=11.9979 len=52730.fasta,52730
V1DD.contigs.10kb_virus_k127_44105 flag=1 multi=10.0000 len=53179.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_44105 flag=1 multi=10.0000 len=53179.fasta,53179
V1DD.contigs.10kb_virus_k127_441135 flag=1 multi=23.0000 len=75222.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_441135 flag=1 multi=23.0000 len=75222.fasta,75222
V1DD.contigs.10kb_virus_k127_442253 flag=1 multi=12.0000 len=56327.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_442253 flag=1 multi=12.0000 len=56327.fasta,56327
V1DD.contigs.10kb_virus_k127_453514 flag=0 multi=22.1119 len=59661.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_453514 flag=0 multi=22.1119 len=59661.fasta,59661
V1DD.contigs.10kb_virus_k127_457313 flag=3 multi=77.9917 len=92353.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_457313 flag=3 multi=77.9917 len=92353.fasta,92353
V1DD.contigs.10kb_virus_k127_459719 flag=0 multi=22.8562 len=54327.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_459719 flag=0 multi=22.8562 len=54327.fasta,54327
V1DD.contigs.10kb_virus_k127_460640 flag=0 multi=13.0000 len=63823.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_460640 flag=0 multi=13.0000 len=63823.fasta,63823
V1DD.contigs.10kb_virus_k127_460689 flag=0 multi=18.6882 len=99366.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_460689 flag=0 multi=18.6882 len=99366.fasta,99366
V1DD.contigs.10kb_virus_k127_462040 flag=0 multi=270.5638 len=95194.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_462040 flag=0 multi=270.5638 len=95194.fasta,95194
V1DD.contigs.10kb_virus_k127_462345 flag=0 multi=8.9975 len=62915.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_462345 flag=0 multi=8.9975 len=62915.fasta,62915
V1DD.contigs.10kb_virus_k127_465334 flag=1 multi=24.9953 len=51574.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_465334 flag=1 multi=24.9953 len=51574.fasta,51574
V1DD.contigs.10kb_virus_k127_470005 flag=3 multi=47.0000 len=58827.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_470005 flag=3 multi=47.0000 len=58827.fasta,58827
V1DD.contigs.10kb_virus_k127_481095 flag=1 multi=8.9988 len=61980.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_481095 flag=1 multi=8.9988 len=61980.fasta,61980
V1DD.contigs.10kb_virus_k127_494047 flag=1 multi=10.8358 len=78329.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_494047 flag=1 multi=10.8358 len=78329.fasta,78329
V1DD.contigs.10kb_virus_k127_499538 flag=3 multi=39.0000 len=58377.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_499538 flag=3 multi=39.0000 len=58377.fasta,58377
V1DD.contigs.10kb_virus_k127_527734 flag=0 multi=10.0000 len=58143.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_527734 flag=0 multi=10.0000 len=58143.fasta,58143
V1DD.contigs.10kb_virus_k127_535250 flag=0 multi=9.1254 len=82479.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_535250 flag=0 multi=9.1254 len=82479.fasta,82479
V1DD.contigs.10kb_virus_k127_537281 flag=0 multi=45.8833 len=67905.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_537281 flag=0 multi=45.8833 len=67905.fasta,67905
